fill	clickSelects	showSelected1	ymin	ymax	xmin	xmax
#E76BF3	R	R	0	50	3.55	4.45
#00B0F6	Python	Python	0	45	3.55	4.45
#A3A500	C++	C++	0	7	3.55	4.45
#00BF7D	Javascript	Javascript	0	23	3.55	4.45
#F8766D	C	C	0	23	3.55	4.45
#E76BF3	R	R	0	56	0.55	1.45
#00B0F6	Python	Python	0	34	0.55	1.45
#A3A500	C++	C++	0	44	0.55	1.45
#00BF7D	Javascript	Javascript	0	10	0.55	1.45
#F8766D	C	C	0	11	0.55	1.45
#E76BF3	R	R	0	67	1.55	2.45
#00B0F6	Python	Python	0	29	1.55	2.45
#A3A500	C++	C++	0	36	1.55	2.45
#00BF7D	Javascript	Javascript	0	14	1.55	2.45
#F8766D	C	C	0	62	1.55	2.45
#E76BF3	R	R	0	38	2.55	3.45
#00B0F6	Python	Python	0	24	2.55	3.45
#A3A500	C++	C++	0	21	2.55	3.45
#00BF7D	Javascript	Javascript	0	47	2.55	3.45
#F8766D	C	C	0	55	2.55	3.45
